time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2020-10-03T00:00:00.000Z","LatLng(34.75, 136.7)","-56.91","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-10T00:00:00.000Z","LatLng(34.75, 136.7)","51.52","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-17T00:00:00.000Z","LatLng(34.75, 136.7)","410.88","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-24T00:00:00.000Z","LatLng(34.75, 136.7)","-13.35","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-31T00:00:00.000Z","LatLng(34.75, 136.7)","-66.3","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-07T00:00:00.000Z","LatLng(34.75, 136.7)","-37.31","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-14T00:00:00.000Z","LatLng(34.75, 136.7)","35.39","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-21T00:00:00.000Z","LatLng(34.75, 136.7)","28.62","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-11-28T00:00:00.000Z","LatLng(34.75, 136.7)","-29.38","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-12-05T00:00:00.000Z","LatLng(34.75, 136.7)","-8.9","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-12-12T00:00:00.000Z","LatLng(34.75, 136.7)","-42.82","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-12-19T00:00:00.000Z","LatLng(34.75, 136.7)","-8.46","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-02T00:00:00.000Z","LatLng(34.75, 136.7)","54.2","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2021-01-09T00:00:00.000Z","LatLng(34.75, 136.7)","80.18","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
